courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 191,2,2007-2008,U,5L,2017-34561
CMSC 2,2,2012-2013,Z,6L,2011-95542
CMSC 191,2,2015-2016,Y,5L,2015-65537
CMSC 198,1,2011-2012,W,1L,2017-20139
CMSC 170,1,2013-2014,Y,5L,2011-97494
CMSC 132,2,2012-2013,V,6L,2014-05104
CMSC 21,2,2010-2011,X,4L,2015-96999
CMSC 191,1,2015-2016,U,4L,2018-48056
CMSC 198,1,2007-2008,V,4L,2011-45000
CMSC 150,1,2015-2016,Z,6L,2019-14759
CMSC 161,1,2015-2016,V,3L,2015-23237
CMSC 123,1,2013-2014,V,2L,2018-24399
CMSC 190-1,2,2007-2008,X,1L,2011-87870
CMSC 130,1,2012-2013,U,3L,2019-38861
CMSC 11,1,2015-2016,X,1L,2012-12463
CMSC 21,2,2008-2009,Y,1L,2010-78201
CMSC 125,2,2011-2012,W,1L,2014-08912
CMSC 190-2,1,2013-2014,U,3L,2010-03508
CMSC 191,2,2015-2016,U,2L,2014-90903
CMSC 190-2,1,2012-2013,W,5L,2010-30694
CMSC 128,2,2015-2016,X,3L,2011-11928
CMSC 123,1,2013-2014,Y,1L,2012-48557
CMSC 130,2,2012-2013,W,2L,2018-19209
CMSC 165,1,2015-2016,X,3L,2019-89116
CMSC 124,2,2011-2012,Z,4L,2012-12202
CMSC 161,1,2006-2007,X,4L,2018-23888
CMSC 123,2,2012-2013,Z,6L,2013-84980
CMSC 128,1,2006-2007,Y,4L,2011-16097
CMSC 191,2,2013-2014,Z,3L,2017-47793
CMSC 11,2,2009-2010,X,6L,2017-02248
CMSC 190-2,2,2008-2009,W,6L,2017-47052
CMSC 190-2,2,2010-2011,X,2L,2017-99348
CMSC 190-1,1,2010-2011,Y,2L,2017-61691
CMSC 198,1,2006-2007,U,5L,2010-82218
CMSC 2,2,2010-2011,X,2L,2014-10106
CMSC 130,1,2009-2010,U,4L,2011-82440
CMSC 165,2,2012-2013,U,5L,2012-55728
CMSC 130,2,2008-2009,V,4L,2012-15313
CMSC 190-2,2,2014-2015,W,4L,2013-44721
CMSC 131,2,2009-2010,U,6L,2016-53865
CMSC 128,2,2011-2012,W,1L,2017-94287
CMSC 170,2,2013-2014,X,6L,2012-80550
CMSC 130,1,2012-2013,Y,6L,2016-62012
CMSC 123,1,2008-2009,Z,3L,2014-11738
CMSC 190-1,1,2009-2010,Y,1L,2014-21153
CMSC 21,1,2007-2008,X,3L,2011-52753
CMSC 198,1,2010-2011,Y,3L,2017-71786
CMSC 132,1,2015-2016,Y,2L,2016-96681
CMSC 2,1,2011-2012,V,1L,2013-19020
CMSC 2,2,2015-2016,V,2L,2016-01694
CMSC 131,2,2012-2013,V,1L,2013-03934
CMSC 124,2,2006-2007,Y,4L,2017-92139
CMSC 130,1,2015-2016,Y,3L,2016-12661
CMSC 2,1,2013-2014,Y,6L,2017-27863
CMSC 190-2,1,2012-2013,Y,4L,2018-71140
CMSC 22,1,2008-2009,Z,3L,2012-57058
CMSC 170,1,2013-2014,Y,3L,2014-42239
CMSC 21,2,2012-2013,U,4L,2015-07553
CMSC 191,1,2009-2010,V,5L,2014-26729
CMSC 170,2,2007-2008,U,5L,2018-42647
CMSC 170,1,2008-2009,X,3L,2016-75484
CMSC 22,1,2006-2007,W,6L,2019-54168
CMSC 165,2,2009-2010,W,6L,2012-79857
CMSC 123,1,2015-2016,Z,1L,2018-17974
CMSC 191,2,2014-2015,Y,2L,2015-89751
CMSC 123,1,2006-2007,X,2L,2014-89967
CMSC 125,1,2006-2007,X,1L,2010-08983
CMSC 190-2,1,2007-2008,Y,3L,2013-95500
CMSC 128,2,2014-2015,Y,2L,2010-71324
CMSC 124,2,2013-2014,V,1L,2017-82305
CMSC 150,2,2012-2013,Z,6L,2016-24991
CMSC 132,1,2013-2014,W,1L,2015-95780
CMSC 165,1,2010-2011,V,4L,2011-63085
CMSC 131,2,2009-2010,U,2L,2013-76033
CMSC 11,2,2013-2014,Z,6L,2019-40134
CMSC 132,1,2006-2007,Y,5L,2010-58150
CMSC 170,2,2010-2011,Y,6L,2012-56565
CMSC 191,2,2013-2014,U,5L,2013-29799
CMSC 21,2,2009-2010,V,6L,2019-89992
CMSC 22,1,2011-2012,V,6L,2012-71814
CMSC 11,2,2010-2011,U,2L,2013-62847
CMSC 2,1,2007-2008,W,6L,2010-57320
CMSC 11,1,2006-2007,U,2L,2010-61819
CMSC 11,1,2013-2014,Z,2L,2019-55715
CMSC 2,1,2007-2008,X,1L,2010-28919
CMSC 11,1,2007-2008,W,4L,2018-08955
CMSC 191,2,2008-2009,V,1L,2016-83262
CMSC 21,1,2006-2007,U,4L,2011-78819
CMSC 123,1,2010-2011,U,4L,2014-57963
CMSC 191,1,2014-2015,W,2L,2015-15250
CMSC 2,1,2011-2012,Z,6L,2014-56528
CMSC 170,1,2009-2010,Z,5L,2015-38140
CMSC 170,1,2009-2010,W,1L,2017-14868
CMSC 165,1,2014-2015,V,5L,2013-86712
CMSC 191,1,2009-2010,X,4L,2015-02698
CMSC 123,2,2008-2009,X,2L,2012-35416
CMSC 150,2,2010-2011,Z,5L,2010-87591
CMSC 132,2,2012-2013,W,2L,2017-48329
CMSC 170,2,2010-2011,U,5L,2015-49359
CMSC 21,1,2007-2008,Z,2L,2015-03474
CMSC 123,2,2006-2007,V,2L,2017-79045
CMSC 128,2,2007-2008,Z,3L,2014-12408
CMSC 131,1,2008-2009,U,5L,2011-31894
CMSC 161,2,2009-2010,X,5L,2013-54016
CMSC 124,2,2012-2013,U,1L,2019-09102
CMSC 128,1,2011-2012,Y,6L,2019-73275
CMSC 165,1,2011-2012,Y,6L,2010-53660
CMSC 161,1,2013-2014,Y,6L,2013-88038
CMSC 150,2,2007-2008,Y,2L,2010-93271
CMSC 132,2,2011-2012,Y,2L,2016-83015
CMSC 150,1,2012-2013,U,3L,2010-57281
CMSC 150,1,2008-2009,Z,4L,2013-64891
CMSC 161,1,2013-2014,Z,2L,2015-23783
CMSC 198,2,2013-2014,Y,2L,2011-93119
CMSC 123,1,2013-2014,V,3L,2018-99292
CMSC 123,2,2008-2009,Z,2L,2012-33066
CMSC 150,1,2014-2015,V,2L,2016-37447
CMSC 2,2,2013-2014,Y,3L,2017-14721
CMSC 125,2,2012-2013,Z,1L,2015-97709
CMSC 161,2,2006-2007,U,6L,2012-16903
CMSC 198,2,2006-2007,Y,4L,2015-48126
CMSC 131,1,2015-2016,W,4L,2014-96280
CMSC 2,1,2007-2008,X,4L,2012-38407
CMSC 170,2,2008-2009,W,4L,2013-29943
CMSC 124,1,2014-2015,V,3L,2018-85278
CMSC 130,2,2011-2012,V,3L,2011-16428
CMSC 2,2,2007-2008,Z,2L,2010-41264
CMSC 130,1,2013-2014,Z,2L,2015-15771
CMSC 22,2,2007-2008,U,3L,2014-15309
CMSC 165,1,2013-2014,U,6L,2012-28997
CMSC 165,1,2007-2008,Z,6L,2017-77548
CMSC 190-2,1,2010-2011,V,3L,2018-60023
CMSC 130,1,2011-2012,Y,6L,2015-64315
CMSC 161,1,2014-2015,W,6L,2018-50442
CMSC 130,2,2007-2008,W,4L,2010-42812
CMSC 161,1,2012-2013,X,3L,2019-22580
CMSC 150,2,2011-2012,U,2L,2010-70682
CMSC 21,2,2011-2012,V,5L,2018-42220
CMSC 123,1,2013-2014,U,6L,2013-42793
CMSC 132,1,2010-2011,V,1L,2014-57828
CMSC 124,1,2008-2009,U,3L,2015-12070
CMSC 123,1,2007-2008,W,6L,2014-18712
CMSC 130,2,2009-2010,X,1L,2015-84433
CMSC 132,2,2013-2014,Z,6L,2015-19041
CMSC 123,2,2013-2014,Y,5L,2019-60352
CMSC 22,1,2008-2009,U,4L,2019-33705
CMSC 2,2,2012-2013,V,2L,2017-53842
CMSC 170,1,2011-2012,X,5L,2013-73102
CMSC 11,2,2008-2009,U,5L,2016-33130
CMSC 128,2,2012-2013,W,5L,2018-12430
CMSC 131,1,2008-2009,W,5L,2014-31540
CMSC 130,2,2009-2010,W,2L,2017-36895
CMSC 130,1,2015-2016,Z,5L,2013-04793
CMSC 11,2,2011-2012,Z,5L,2015-66069
CMSC 11,1,2013-2014,U,2L,2019-38220
CMSC 191,2,2013-2014,U,3L,2018-55195
CMSC 125,2,2015-2016,X,5L,2011-15732
CMSC 125,1,2013-2014,Z,6L,2012-60886
CMSC 161,1,2009-2010,Z,2L,2012-75501
CMSC 170,1,2012-2013,X,4L,2016-30954
CMSC 190-1,1,2011-2012,Z,1L,2011-51997
CMSC 131,2,2007-2008,U,6L,2014-71056
CMSC 130,1,2012-2013,V,1L,2016-04696
CMSC 132,2,2008-2009,V,1L,2019-12336
CMSC 125,1,2011-2012,Y,3L,2016-17775
CMSC 131,1,2009-2010,Z,5L,2015-39246
CMSC 161,2,2012-2013,X,2L,2012-36064
CMSC 170,2,2012-2013,W,3L,2015-59961
CMSC 132,1,2015-2016,U,5L,2018-52820
CMSC 130,1,2008-2009,U,6L,2017-78206
CMSC 11,2,2013-2014,X,2L,2012-63250
CMSC 11,1,2006-2007,Y,3L,2014-94756
CMSC 124,2,2010-2011,Y,2L,2017-38488
CMSC 190-2,2,2014-2015,V,1L,2012-63861
CMSC 161,1,2007-2008,W,5L,2012-79975
CMSC 125,1,2008-2009,Y,1L,2013-94781
CMSC 11,1,2013-2014,W,3L,2018-50571
CMSC 170,2,2012-2013,X,6L,2019-36537
CMSC 132,1,2014-2015,U,4L,2010-53780
CMSC 125,1,2010-2011,U,1L,2010-84209
CMSC 124,2,2015-2016,W,6L,2013-38240
CMSC 170,2,2010-2011,Y,1L,2015-49569
CMSC 191,2,2012-2013,V,6L,2010-35277
CMSC 191,2,2006-2007,V,2L,2012-27841
CMSC 191,2,2009-2010,W,5L,2014-08676
CMSC 22,2,2010-2011,X,1L,2012-95574
CMSC 2,2,2013-2014,Y,1L,2016-29305
CMSC 132,2,2011-2012,Z,1L,2013-79035
CMSC 21,1,2007-2008,Y,6L,2014-94611
CMSC 123,1,2007-2008,Y,1L,2012-35886
CMSC 124,2,2007-2008,U,2L,2011-56896
CMSC 198,1,2007-2008,Y,3L,2012-95312
CMSC 198,2,2011-2012,Z,1L,2013-83144
CMSC 131,1,2006-2007,W,6L,2010-01163
CMSC 131,2,2006-2007,W,3L,2014-19560
CMSC 123,2,2015-2016,X,6L,2014-93380
CMSC 123,2,2006-2007,V,5L,2018-19772
CMSC 11,2,2013-2014,W,4L,2019-23411
CMSC 161,1,2011-2012,U,5L,2016-20384
CMSC 132,1,2011-2012,U,3L,2011-44272
CMSC 132,1,2007-2008,U,6L,2017-05597
CMSC 165,1,2010-2011,U,2L,2014-64076
CMSC 131,1,2014-2015,X,4L,2016-85464
CMSC 128,1,2015-2016,Z,3L,2018-71234
CMSC 132,1,2013-2014,Z,4L,2017-51759
CMSC 190-1,1,2006-2007,Y,5L,2015-92228
CMSC 21,2,2012-2013,Y,4L,2015-13255
CMSC 190-1,2,2009-2010,V,1L,2015-93827
CMSC 191,2,2009-2010,V,5L,2010-90585
CMSC 165,2,2013-2014,Y,5L,2010-68607
CMSC 131,1,2010-2011,W,5L,2013-05440
CMSC 131,1,2007-2008,X,2L,2011-87186
CMSC 198,1,2012-2013,U,6L,2014-35403
CMSC 11,1,2009-2010,W,2L,2011-15841
CMSC 123,2,2007-2008,Z,6L,2015-99170
CMSC 123,2,2010-2011,W,6L,2017-66665
CMSC 132,1,2009-2010,U,4L,2010-70702
CMSC 132,2,2014-2015,X,3L,2013-11474
CMSC 132,2,2015-2016,V,6L,2019-03613
CMSC 11,1,2006-2007,Y,2L,2013-55514
CMSC 130,1,2007-2008,V,1L,2016-03383
CMSC 198,1,2014-2015,X,3L,2017-82753
CMSC 22,1,2012-2013,W,4L,2013-67037
CMSC 124,1,2007-2008,Z,1L,2011-74483
CMSC 165,2,2014-2015,X,1L,2014-74346
CMSC 150,1,2014-2015,U,5L,2019-48778
CMSC 11,2,2009-2010,X,5L,2016-32331
CMSC 22,2,2009-2010,Z,5L,2018-53191
CMSC 128,1,2015-2016,Z,4L,2016-12504
CMSC 11,2,2011-2012,U,1L,2019-04714
CMSC 190-1,1,2011-2012,W,4L,2013-80226
CMSC 21,2,2011-2012,X,6L,2011-74779
CMSC 124,1,2006-2007,U,4L,2019-23937
CMSC 2,2,2014-2015,Z,3L,2017-45952
CMSC 22,1,2012-2013,U,5L,2014-04230
CMSC 190-2,2,2014-2015,W,4L,2012-53951
CMSC 123,2,2007-2008,Y,3L,2016-47563
CMSC 170,2,2014-2015,V,6L,2010-02069
CMSC 130,2,2013-2014,W,3L,2010-84032
CMSC 11,2,2010-2011,Y,6L,2011-88137
CMSC 191,1,2009-2010,U,2L,2017-23059
CMSC 190-2,1,2006-2007,Z,4L,2015-63875
CMSC 161,1,2011-2012,W,4L,2018-56652
CMSC 21,2,2011-2012,Z,1L,2014-59214
CMSC 21,1,2015-2016,V,1L,2015-93209
CMSC 190-1,2,2014-2015,Y,5L,2018-52200
CMSC 22,2,2014-2015,Z,5L,2010-76972
CMSC 124,1,2007-2008,V,6L,2018-72636
CMSC 123,1,2014-2015,U,3L,2015-35778
CMSC 191,2,2014-2015,V,6L,2011-92144
CMSC 124,1,2010-2011,Z,6L,2016-73249
CMSC 132,2,2007-2008,Y,1L,2018-08366
CMSC 161,2,2010-2011,Z,2L,2016-99572
CMSC 150,2,2009-2010,V,1L,2017-05548
CMSC 161,2,2013-2014,U,5L,2012-96393
CMSC 170,1,2014-2015,U,5L,2011-29753
CMSC 2,2,2015-2016,V,1L,2011-26339
CMSC 198,2,2006-2007,Y,5L,2010-89702
CMSC 128,1,2010-2011,W,5L,2019-86458
CMSC 190-2,1,2006-2007,U,5L,2016-60104
CMSC 128,1,2015-2016,Y,2L,2011-05438
CMSC 131,2,2008-2009,Y,6L,2018-82347
CMSC 21,1,2007-2008,X,1L,2018-88363
CMSC 132,1,2014-2015,V,6L,2015-26733
CMSC 131,2,2014-2015,V,1L,2016-92603
CMSC 21,2,2009-2010,Z,3L,2010-92858
CMSC 21,1,2009-2010,U,5L,2014-16279
CMSC 198,1,2007-2008,W,2L,2011-74090
CMSC 198,2,2015-2016,U,4L,2010-54997
CMSC 191,2,2010-2011,X,1L,2013-96463
CMSC 123,2,2007-2008,V,6L,2014-22692
CMSC 190-2,2,2012-2013,U,2L,2013-31703
CMSC 123,1,2013-2014,Z,6L,2010-27484
CMSC 11,2,2009-2010,V,3L,2019-08488
CMSC 2,1,2007-2008,W,5L,2014-63355
CMSC 170,1,2007-2008,Y,1L,2010-57730
CMSC 11,2,2014-2015,U,2L,2018-27169
CMSC 165,2,2006-2007,W,6L,2017-91957
CMSC 191,1,2010-2011,Y,4L,2015-36808
CMSC 128,1,2007-2008,Y,1L,2011-32686
CMSC 132,2,2013-2014,Y,5L,2011-70683
CMSC 21,2,2009-2010,W,5L,2018-61131
CMSC 11,2,2014-2015,Z,2L,2011-28914
CMSC 21,2,2011-2012,W,5L,2018-97128
CMSC 123,2,2015-2016,X,4L,2017-27171
CMSC 150,2,2011-2012,U,5L,2013-00904
CMSC 130,1,2015-2016,V,6L,2016-69493
CMSC 131,2,2010-2011,V,6L,2019-46262
CMSC 190-2,2,2009-2010,X,5L,2010-55423
CMSC 21,1,2012-2013,Z,2L,2019-48485
CMSC 130,1,2015-2016,V,1L,2015-39228
CMSC 132,1,2006-2007,X,5L,2019-40307
CMSC 124,2,2012-2013,U,3L,2013-24948
CMSC 22,1,2006-2007,V,2L,2017-01652
CMSC 170,1,2014-2015,U,5L,2010-76856
CMSC 22,2,2013-2014,W,2L,2014-99970
CMSC 128,1,2010-2011,W,2L,2012-79695
CMSC 124,2,2011-2012,U,4L,2015-85065
CMSC 124,2,2007-2008,X,3L,2015-09101
CMSC 131,2,2009-2010,Z,1L,2012-75848
CMSC 124,2,2011-2012,W,1L,2015-54507
CMSC 165,1,2011-2012,Z,2L,2016-26470
CMSC 131,1,2010-2011,W,3L,2019-71181
CMSC 161,2,2013-2014,U,6L,2010-26030
CMSC 131,1,2011-2012,U,5L,2011-20414
CMSC 128,1,2007-2008,V,5L,2013-61453
CMSC 21,1,2006-2007,Y,2L,2016-15266
CMSC 130,1,2010-2011,Z,4L,2014-67934
CMSC 190-1,1,2014-2015,Y,1L,2011-14930
CMSC 150,1,2015-2016,W,1L,2010-13115
CMSC 22,2,2011-2012,Z,2L,2017-35510
CMSC 161,1,2007-2008,X,5L,2017-81480
CMSC 123,2,2013-2014,X,4L,2013-86788
CMSC 198,2,2006-2007,X,4L,2016-70626
CMSC 22,2,2014-2015,Y,4L,2010-35782
CMSC 11,1,2014-2015,W,6L,2011-12159
CMSC 125,1,2008-2009,Z,5L,2012-29117
CMSC 123,2,2013-2014,V,1L,2016-34326
CMSC 190-2,2,2011-2012,Z,2L,2015-85044
CMSC 190-2,1,2010-2011,U,6L,2016-99275
CMSC 123,2,2012-2013,W,1L,2017-42724
CMSC 123,1,2009-2010,Y,5L,2011-95064
CMSC 150,1,2013-2014,W,4L,2011-12535
CMSC 190-1,2,2015-2016,Z,5L,2012-34754
CMSC 2,1,2014-2015,W,4L,2017-03732
CMSC 128,1,2007-2008,X,5L,2017-26979
CMSC 131,1,2006-2007,X,6L,2010-54117
CMSC 191,1,2009-2010,U,3L,2010-57690
CMSC 11,2,2009-2010,U,1L,2012-97252
CMSC 130,1,2012-2013,X,3L,2017-85496
CMSC 125,1,2010-2011,X,3L,2019-48094
CMSC 2,1,2009-2010,X,5L,2016-85230
CMSC 161,1,2006-2007,Y,5L,2013-21113
CMSC 11,2,2007-2008,U,1L,2017-73575
CMSC 132,2,2014-2015,Y,4L,2017-66789
CMSC 22,2,2006-2007,W,5L,2018-37007
CMSC 132,1,2012-2013,U,2L,2011-62193
CMSC 130,1,2015-2016,X,5L,2018-48739
CMSC 198,1,2010-2011,V,1L,2010-19980
CMSC 191,2,2008-2009,Z,1L,2017-73831
CMSC 132,2,2007-2008,W,2L,2010-19834
CMSC 123,1,2008-2009,U,6L,2019-86403
CMSC 130,1,2006-2007,U,3L,2019-75068
CMSC 150,2,2008-2009,W,6L,2014-44749
CMSC 161,2,2010-2011,W,3L,2018-87718
CMSC 190-1,2,2010-2011,W,5L,2012-87424
CMSC 125,2,2010-2011,W,4L,2010-98646
CMSC 161,1,2007-2008,X,6L,2017-03221
CMSC 11,2,2006-2007,Z,3L,2015-43287
CMSC 190-1,1,2015-2016,Y,5L,2017-91424
CMSC 11,1,2014-2015,W,5L,2011-15181
CMSC 132,2,2012-2013,W,1L,2011-95754
CMSC 21,2,2006-2007,X,6L,2013-55083
CMSC 191,2,2011-2012,Z,1L,2018-11112
CMSC 22,1,2012-2013,W,2L,2019-58680
CMSC 11,2,2010-2011,U,5L,2016-68656
CMSC 191,2,2013-2014,Z,5L,2011-33676
CMSC 170,2,2010-2011,Z,3L,2018-06818
CMSC 130,2,2009-2010,V,5L,2017-29557
CMSC 123,2,2006-2007,Z,1L,2019-15391
CMSC 131,2,2012-2013,U,3L,2011-97051
CMSC 2,2,2012-2013,Z,5L,2012-71366
CMSC 130,1,2014-2015,Z,1L,2010-06846
CMSC 125,2,2008-2009,W,1L,2019-08056
CMSC 125,1,2006-2007,Y,1L,2015-70005
CMSC 150,2,2013-2014,U,4L,2014-05487
CMSC 11,2,2007-2008,U,5L,2015-29807
CMSC 128,2,2010-2011,W,1L,2013-39096
CMSC 11,2,2010-2011,V,2L,2014-38781
CMSC 170,2,2006-2007,Y,5L,2019-89546
CMSC 132,1,2006-2007,U,2L,2017-20245
CMSC 190-1,1,2007-2008,X,5L,2019-74549
CMSC 124,2,2011-2012,Y,2L,2012-20118
CMSC 123,1,2010-2011,V,5L,2015-94062
CMSC 150,1,2006-2007,U,6L,2016-19655
CMSC 190-2,2,2011-2012,U,5L,2012-34601
CMSC 150,2,2013-2014,Y,5L,2014-54006
CMSC 198,1,2008-2009,Z,5L,2013-94771
CMSC 198,2,2010-2011,Z,1L,2011-54567
CMSC 130,1,2014-2015,Z,3L,2013-98593
CMSC 150,2,2013-2014,X,1L,2015-99995
CMSC 132,1,2013-2014,Y,2L,2014-97333
CMSC 165,1,2013-2014,X,4L,2016-32835
CMSC 150,2,2009-2010,Y,3L,2015-59592
CMSC 11,1,2010-2011,X,2L,2011-43706
CMSC 132,2,2014-2015,X,5L,2015-97625
CMSC 2,1,2013-2014,V,1L,2018-88332
CMSC 21,1,2010-2011,X,3L,2018-96554
CMSC 22,1,2007-2008,V,4L,2016-57771
CMSC 124,1,2013-2014,X,2L,2019-20765
CMSC 22,1,2014-2015,Z,6L,2014-10167
CMSC 165,1,2006-2007,V,6L,2012-06086
CMSC 198,1,2011-2012,W,1L,2016-40609
CMSC 198,1,2012-2013,Y,4L,2011-89285
CMSC 21,2,2010-2011,W,1L,2015-29310
CMSC 2,2,2006-2007,W,4L,2011-76749
CMSC 123,2,2008-2009,Y,5L,2018-79098
CMSC 161,1,2009-2010,U,2L,2018-06729
CMSC 191,1,2012-2013,W,2L,2019-17102
CMSC 11,1,2007-2008,W,3L,2015-79656
CMSC 22,1,2006-2007,X,5L,2011-54717
CMSC 130,1,2007-2008,Z,4L,2014-66256
CMSC 128,1,2006-2007,U,3L,2016-25462
CMSC 150,1,2006-2007,U,5L,2019-22717
CMSC 11,2,2008-2009,Y,6L,2014-52611
CMSC 128,1,2013-2014,Y,6L,2015-66399
CMSC 125,1,2013-2014,Y,5L,2019-50481
CMSC 2,1,2015-2016,V,6L,2015-98760
CMSC 191,1,2013-2014,W,3L,2016-75178
CMSC 123,1,2011-2012,W,6L,2014-39386
CMSC 150,2,2013-2014,V,6L,2015-24747
CMSC 124,2,2007-2008,V,4L,2010-38862
CMSC 198,2,2010-2011,V,2L,2018-63449
CMSC 22,2,2015-2016,Y,5L,2017-31325
CMSC 170,2,2013-2014,Z,6L,2013-59496
CMSC 124,1,2008-2009,U,6L,2015-41573
CMSC 191,1,2009-2010,Z,2L,2013-24784
CMSC 11,1,2007-2008,W,3L,2017-90983
CMSC 190-1,2,2013-2014,Z,3L,2015-12335
CMSC 11,1,2008-2009,Y,2L,2014-36877
CMSC 130,1,2013-2014,Z,2L,2019-04459
CMSC 132,1,2012-2013,U,3L,2012-46814
CMSC 198,1,2013-2014,V,2L,2016-09704
CMSC 21,1,2014-2015,Z,2L,2010-44485
CMSC 170,1,2009-2010,W,4L,2017-53691
CMSC 161,1,2014-2015,V,5L,2015-19109
CMSC 191,1,2011-2012,W,1L,2017-85226
CMSC 21,2,2015-2016,V,3L,2017-52623
CMSC 190-2,1,2014-2015,V,6L,2015-80742
CMSC 130,1,2006-2007,Y,3L,2012-52017
CMSC 21,2,2006-2007,V,3L,2016-30522
CMSC 11,2,2015-2016,Z,3L,2010-74431
CMSC 130,2,2011-2012,V,2L,2011-13818
CMSC 22,2,2013-2014,Z,3L,2017-94158
CMSC 161,2,2010-2011,Z,5L,2017-85602
CMSC 124,1,2009-2010,Z,2L,2014-65291
CMSC 21,1,2006-2007,Z,3L,2012-34950
CMSC 150,1,2012-2013,W,3L,2019-32841
CMSC 170,1,2012-2013,Z,1L,2011-29167
CMSC 2,1,2007-2008,Z,6L,2017-85610
CMSC 128,2,2008-2009,X,6L,2019-91045
CMSC 11,1,2013-2014,Z,5L,2017-80285
CMSC 161,2,2006-2007,V,2L,2011-06288
CMSC 198,2,2014-2015,X,3L,2011-07729
CMSC 11,2,2012-2013,Y,6L,2016-46362
CMSC 191,1,2009-2010,Y,1L,2015-19761
CMSC 165,1,2008-2009,Z,3L,2017-74579
CMSC 123,2,2009-2010,Z,4L,2010-38131
CMSC 150,1,2009-2010,Y,3L,2011-21063
CMSC 190-1,1,2006-2007,V,6L,2016-25057
CMSC 190-2,2,2014-2015,U,5L,2013-13091
CMSC 191,1,2014-2015,V,4L,2012-41772
CMSC 123,1,2015-2016,W,4L,2011-12916
CMSC 131,1,2007-2008,V,3L,2010-19379
CMSC 124,2,2011-2012,Y,2L,2015-92022
CMSC 150,1,2009-2010,Y,5L,2012-39972
CMSC 2,1,2010-2011,Y,6L,2013-96971
CMSC 161,1,2007-2008,Z,6L,2018-09844
CMSC 130,2,2010-2011,V,3L,2015-84111
CMSC 170,2,2013-2014,X,2L,2013-30899
CMSC 198,2,2012-2013,U,2L,2017-19101
CMSC 128,2,2011-2012,U,2L,2010-41734
CMSC 170,2,2013-2014,Z,5L,2011-24125
CMSC 190-1,2,2006-2007,Z,5L,2016-44967
CMSC 170,2,2011-2012,Y,1L,2016-26720
CMSC 22,2,2010-2011,Z,5L,2014-55985
CMSC 131,2,2007-2008,X,6L,2017-82550
CMSC 123,2,2015-2016,Z,3L,2017-46042
CMSC 22,2,2007-2008,W,2L,2015-58235
CMSC 190-2,1,2014-2015,V,3L,2019-14000
CMSC 125,1,2011-2012,X,6L,2012-44039
CMSC 130,1,2007-2008,Z,5L,2017-93816
CMSC 190-1,2,2011-2012,W,6L,2012-75492
CMSC 190-2,1,2010-2011,Z,6L,2016-71974
CMSC 165,2,2012-2013,U,6L,2010-48603
CMSC 131,1,2007-2008,Z,1L,2017-07672
CMSC 165,2,2008-2009,Z,2L,2012-17437
CMSC 191,1,2006-2007,U,6L,2010-47126
CMSC 161,1,2012-2013,X,4L,2017-35604
CMSC 21,1,2012-2013,W,3L,2016-84655
CMSC 128,2,2011-2012,Y,2L,2010-40032
CMSC 130,1,2011-2012,Y,2L,2015-67532
CMSC 22,2,2011-2012,X,2L,2015-52231
CMSC 161,2,2012-2013,U,6L,2012-52380
CMSC 165,2,2015-2016,W,3L,2017-45069
CMSC 161,2,2013-2014,Y,4L,2017-24993
CMSC 124,2,2012-2013,W,4L,2017-06598
CMSC 132,1,2010-2011,W,3L,2017-41578
CMSC 124,1,2009-2010,W,6L,2014-43166
CMSC 128,2,2008-2009,V,2L,2017-08676
CMSC 131,2,2012-2013,W,5L,2010-76668
CMSC 150,1,2006-2007,W,5L,2017-29579
CMSC 123,2,2008-2009,V,1L,2010-24179
CMSC 124,1,2009-2010,X,1L,2014-31460
CMSC 191,2,2006-2007,W,3L,2016-31652
CMSC 190-1,2,2007-2008,V,5L,2017-11007
CMSC 128,1,2010-2011,W,4L,2019-47371
CMSC 190-1,1,2011-2012,Z,2L,2018-35453
CMSC 22,1,2008-2009,V,4L,2010-43394
CMSC 124,1,2007-2008,Z,5L,2015-53186
CMSC 128,1,2008-2009,W,6L,2013-42466
CMSC 130,2,2008-2009,Z,1L,2012-99112
CMSC 190-1,2,2012-2013,X,1L,2015-16860
CMSC 22,2,2007-2008,U,2L,2011-79108
CMSC 125,2,2015-2016,W,1L,2013-65680
CMSC 124,2,2015-2016,W,4L,2012-29815
CMSC 132,2,2008-2009,Y,3L,2018-07404
CMSC 21,2,2007-2008,V,5L,2016-08267
CMSC 191,1,2008-2009,U,1L,2010-21377
CMSC 190-1,1,2011-2012,Y,4L,2017-50271
CMSC 170,1,2007-2008,W,6L,2017-48993
CMSC 21,2,2009-2010,X,3L,2016-67848
CMSC 161,2,2009-2010,U,1L,2019-42870
CMSC 124,1,2015-2016,Z,6L,2010-83698
CMSC 21,1,2010-2011,U,4L,2011-59771
CMSC 161,1,2007-2008,X,6L,2012-17135
CMSC 130,1,2015-2016,Z,6L,2016-26387
CMSC 21,2,2014-2015,Y,6L,2013-68229
CMSC 198,2,2010-2011,W,5L,2016-55639
CMSC 190-2,2,2006-2007,W,3L,2014-63028
CMSC 190-1,1,2009-2010,X,6L,2011-52756
CMSC 161,1,2012-2013,V,3L,2014-88837
CMSC 191,1,2010-2011,Z,2L,2015-32703
CMSC 190-2,1,2014-2015,Y,6L,2010-56254
CMSC 165,1,2009-2010,X,3L,2017-65822
CMSC 2,2,2015-2016,X,2L,2017-69979
